invalid_smiles,Canonicalized
N1(c2sc3c(n2)cccc3)C2(NC(c3ncccc3)=[N+H]1)CCCCC2,c1ccc2c(c1)nc(s2)N3C4(CCCCC4)NC(=[NH+]3)c5ccccn5
O(C)c1c(OC)ccc(CC[N+H2]CCCC2c3c(-c4c2cccc4)cccc3)c1,COc1ccc(cc1OC)CC[NH2+]CCCC2c3ccccc3-c4c2cccc4
O(C)c1c(OC)ccc(C2C(C)C([N+H]3CCOCC3)Oc3c2cc2OCOc2c3)c1,CC1C(c2cc3c(cc2OC1[NH+]4CCOCC4)OCO3)c5ccc(c(c5)OC)OC
O=C(Oc1c(OC)cc(/C=C/C(=O)CC(=O)/C=C/c2cc(OC)c(OC(=O)C[N+H2]CCN(CC)CC)cc2)cc1)C[N+H2]CCN(CC)CC,CCN(CC)CC[NH2+]CC(=O)Oc1ccc(cc1OC)C=CC(=O)CC(=O)C=Cc2ccc(c(c2)OC)OC(=O)C[NH2+]CCN(CC)CC
C(=C\CCC(C)c1c2OC[N+H](CC3CC[N+H2]CC3)Cc2c(C)cc1)(\C)/C,Cc1ccc(c2c1C[NH+](CO2)CC3CC[NH2+]CC3)C(C)CCC=C(C)C
ClC1=C(N2CC[N+H2]CC2)C(=O)c2c(C1=O)nccc2,c1cc2c(nc1)C(=O)C(=C(C2=O)N3CC[NH2+]CC3)Cl
Clc1ccc(C2N(C(c3ccc([N+](=O)[O-])cc3)=[N+H]O2)C23CC4CC(C2)CC(C3)C4)cc1,c1cc(ccc1C2N(C(=[NH+]O2)c3ccc(cc3)[N+](=O)[O-])C45CC6CC(C4)CC(C6)C5)Cl
N(\N(C)C1=[N+H]CCCN1)=C/c1cc2c(cc1)cccc2,CN(C1=[NH+]CCCN1)N=Cc2ccc3ccccc3c2
O(/[N+H]=C(/N)\Cc1c2c(ccc1)cccc2)C(=O)c1cc(OC)c(OC)c(OC)c1,COc1cc(cc(c1OC)OC)C(=O)O[NH+]=C(Cc2cccc3c2cccc3)N
O(C)c1c(CNC=2S/C(=C/c3cc4c(nccc4)cc3)/C(=O)[N+H]=2)cccc1,COc1ccccc1CNC2=[NH+]C(=O)C(=Cc3ccc4c(c3)cccn4)S2
Clc1cc(C(=O)N/[N+H]=C(\N=Nc2ccc([N+](=O)[O-])cc2)/c2c(C)cc(N(CCC#N)CCC#N)cc2)c(C(=O)c2ccccc2)cc1,Cc1cc(ccc1C(=[NH+]NC(=O)c2cc(ccc2C(=O)c3ccccc3)Cl)N=Nc4ccc(cc4)[N+](=O)[O-])N(CCC#N)CCC#N
O=C/1/C(=C\c2cc(C[N+H]3CCCCC3)c(O)cc2)/CCC\C\1=C\c1ccc(C)cc1,Cc1ccc(cc1)C=C2CCCC(=Cc3ccc(c(c3)C[NH+]4CCCCC4)O)C2=O
Clc1ccc(NC(=S)c2sc(C[N+H](CC)CC)cc2)cc1,CC[NH+](CC)Cc1ccc(s1)C(=S)Nc2ccc(cc2)Cl
S(/[N+H]=C/1\N(c2ccccc2)CC(=O)CS\1)c1ccc(-n2c(C)c3c(n2)-c2c(cccc2)CC3)cc1,Cc1c2c(nn1c3ccc(cc3)S[NH+]=C4N(CC(=O)CS4)c5ccccc5)-c6ccccc6CC2
[N+H](CC/C=C/1\c2c(C(C)(C)c3c\1cccc3)cccc2)(C)C,CC1(c2ccccc2C(=CCC[NH+](C)C)c3c1cccc3)C
O=C(OC)c1c(C)c2c(c(C(=O)/C=C/c3ccc(OC)cc3)c(OCC[N+H](C)C)cc2)o1,Cc1c2ccc(c(c2oc1C(=O)OC)C(=O)C=Cc3ccc(cc3)OC)OCC[NH+](C)C
Br[C@H]1[C@H]([N+H3])c2c(Br)sc(Br)c2C1=O,c12c(c(sc1Br)Br)C(=O)C(C2[NH3+])Br
S(=O)(=O)(N(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC[N+H](Cc2ccc(F)cc2)CC1)NC[C@@H](C(=O)OC)C,CC(CNS(=O)(=O)N(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C2CC[NH+](CC2)Cc3ccc(cc3)F)C(=O)OC
Clc1ccc(C(C([N+H3])C)Cc2ccc(Cl)cc2)cc1,CC(C(Cc1ccc(cc1)Cl)c2ccc(cc2)Cl)[NH3+]
O=C(OCC)/C(/[N+H](CC)CC)=C\c1ccc(C#N)cc1,CC[NH+](CC)C(=Cc1ccc(cc1)C#N)C(=O)OCC
ClC1=C([N+H2]CCc2ccc(O)cc2)C(=O)c2c([O-])ccc([O-])c2C1=O,c1cc(ccc1CC[NH2+]C2=C(C(=O)c3c(ccc(c3C2=O)[O-])[O-])Cl)O
Clc1c(C2(Cn3ncnc3)OC(COc3ccc(N4CC[N+H](C(C)C)CC4)cc3)CO2)ccc(Cl)c1,CC(C)[NH+]1CCN(CC1)c2ccc(cc2)OCC3COC(O3)(Cn4cncn4)c5ccc(cc5Cl)Cl
O=C1C(C[N+H](C)C)(Cc2ccccc2)CCC1Cc1ccccc1,C[NH+](C)CC1(CCC(C1=O)Cc2ccccc2)Cc3ccccc3
O=[N+]([O-])c1ccc(-c2c(/C=N\NC(=[N+H2])N)n3c(SCC3)n2)cc1,c1cc(ccc1c2c(n3c(n2)SCC3)C=NNC(=[NH2+])N)[N+](=O)[O-]
O(CC[N+H]1CCCCC1)C1(c2ccccc2)CC(C)(C)CC(C)C1,CC1CC(CC(C1)(c2ccccc2)OCC[NH+]3CCCCC3)(C)C
Clc1c(OC(C(=O)NCC[N+H](C)C)(C)C)ccc(C(=O)c2ccc(Cl)cc2)c1,CC(C)(C(=O)NCC[NH+](C)C)Oc1ccc(cc1Cl)C(=O)c2ccc(cc2)Cl
O(C(c1c(OC)ccc(OC)c1)c1n2-c3c(OCc2cc1)cccc3)CC[N+H](CC)CC,CC[NH+](CC)CCOC(c1ccc2n1-c3ccccc3OC2)c4cc(ccc4OC)OC
Clc1ccc(C2C(C#N)=C([N+H3])OC=3c4c(ccc([N+](=O)[O-])c4)CCCC2=3)cc1,c1cc(ccc1C2C3=C(c4cc(ccc4CCC3)[N+](=O)[O-])OC(=C2C#N)[NH3+])Cl
Cl/C(=C(/c1ccc(OCC[N+H3])cc1)\c1ccccc1)/c1ccccc1,c1ccc(cc1)C(=C(c2ccccc2)Cl)c3ccc(cc3)OCC[NH3+]
[N+H3]C=1N(/N=C\c2ccccc2)C(c2ccccc2)C(C#N)(C#N)C=1C#N,c1ccc(cc1)C=NN2C(C(C(=C2[NH3+])C#N)(C#N)C#N)c3ccccc3
O(C(OC)C[N+H2]Cc1cc2NC(=O)C(CCCC)=C(CCCCC)c2cc1)C,CCCCCc1c2ccc(cc2[nH]c(=O)c1CCCC)C[NH2+]CC(OC)OC
O(C)c1cc(NCCCCCC[N+H](CCCCCCCC)CCCCCCCC)c2ncccc2c1,CCCCCCCC[NH+](CCCCCCCC)CCCCCCNc1cc(cc2c1nccc2)OC
O=C(NCC[N+H](C)C)c1c2nc(-c3cnccc3)ccc2ccc1,C[NH+](C)CCNC(=O)c1cccc2c1nc(cc2)c3cccnc3
S(C(=[N+H2])N)CCN1C(=O)c2c(C)n(c(C)c2C1=O)-c1ccccc1,Cc1c2c(c(n1c3ccccc3)C)C(=O)N(C2=O)CCSC(=[NH2+])N
Nc1nc-2c(C([N+H]3CCCC3)Oc3c-2cccc3)cn1,c1ccc2c(c1)-c3c(cnc(n3)N)C(O2)[NH+]4CCCC4
O=C(c1cc(N2C(=O)/C(=C\c3ccc(N(C)C)cc3)/[N+H]=C2c2ccccc2)c(N2C(=O)/C(=C\c3ccc(N(C)C)cc3)/[N+H]=C2c2ccccc2)cc1)c1ccccc1,CN(C)c1ccc(cc1)C=C2C(=O)N(C(=[NH+]2)c3ccccc3)c4ccc(cc4N5C(=[NH+]C(=Cc6ccc(cc6)N(C)C)C5=O)c7ccccc7)C(=O)c8ccccc8
O=C1N(CCC[N+H](CCCC)CCCC)c2c(-c3ccccc3)nnn2-c2n(C)c3c(c12)cccc3,CCCC[NH+](CCCC)CCCn1c2c(nnn2c3c(c1=O)c4ccccc4n3C)c5ccccc5
Clc1c(Cl)ccc(/C=C/2\C(=O)NC(Nc3cc(Cl)ccc3)=[N+H]\2)c1,c1cc(cc(c1)Cl)NC2=[NH+]C(=Cc3ccc(c(c3)Cl)Cl)C(=O)N2
O=C(OCC)c1c(CN2CC[N+H2]CC2)nc2c(c1-c1ccccc1)cccc2,CCOC(=O)c1c(nc2ccccc2c1c3ccccc3)CN4CC[NH2+]CC4
[N+H3]CCNC=1[C@]2(C)[C@@H](N(C)c3c(C(C)C2)cccc3)c2c([N+H]=1)cccc2,CC1CC2(C(c3ccccc3[NH+]=C2NCC[NH3+])N(c4c1cccc4)C)C
O=C(OCCCCCCCC)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](OC(=O)CC[N+H3])C[C@@H]3[C@]4(C)[C@H](C[C@@H](OC(=O)CC[N+H3])[C@H]3[C@@H]2CC1)C[C@H](OC(=O)CC[N+H3])CC4,CCCCCCCCOC(=O)CCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)OC(=O)CC[NH3+])C)OC(=O)CC[NH3+])OC(=O)CC[NH3+])C
O=C(NCC[N+H](C)C)c1c2nc(-c3ccccc3)cnc2ccc1,C[NH+](C)CCNC(=O)c1cccc2c1nc(cn2)c3ccccc3
O=C1C(C[N+H]2CCCC2)CCC1C[N+H]1CCCC1,C1CC[NH+](C1)CC2CCC(C2=O)C[NH+]3CCCC3
Fc1ccc(Oc2nc(-c3n(C4CC[N+H2]CC4)cnc3-c3ccc(F)cc3)ccn2)cc1,c1cc(ccc1c2c(n(cn2)C3CC[NH2+]CC3)c4ccnc(n4)Oc5ccc(cc5)F)F
O=C(C(C[N+H](CC)CC)(C)C)/C=C/c1ccc(C)cc1,CC[NH+](CC)CC(C)(C)C(=O)C=Cc1ccc(cc1)C
O=[N+]([O-])c1cc2[n+H]c(C)c(C)c(NCCC[N+H](C)C)c2cc1,Cc1c([nH+]c2cc(ccc2c1NCCC[NH+](C)C)[N+](=O)[O-])C
P(=O)(OCC(OC)C[N+H](CCCCCCCCCCCCCCCCCC)C)(OCC[N+](C)(C)C)[O-],CCCCCCCCCCCCCCCCCC[NH+](C)CC(COP(=O)([O-])OCC[N+](C)(C)C)OC
O=C(Oc1c(OC)cc(/C=C/2\C(=O)C(C[N+H](C)C)CC\2)cc1)c1ccccc1,C[NH+](C)CC1CCC(=Cc2ccc(c(c2)OC)OC(=O)c3ccccc3)C1=O
O=C1C(C[N+H]2CCCCC2)CCCC1,C1CC[NH+](CC1)CC2CCCCC2=O
Brc1c(C2N3C(C)=CSC3=[N+H]C(c3ccc(Cl)cc3)=C2)ccc(OC)c1,CC1=CSC2=[NH+]C(=CC(N12)c3ccc(cc3Br)OC)c4ccc(cc4)Cl
O=C(Nc1nc2C(=O)c3c(Sc2cc1)cccc3)C[N+H]1CCCC1,c1ccc2c(c1)c(=O)c3c(s2)ccc(n3)NC(=O)C[NH+]4CCCC4
O=C([O-])C1([N+H3])CSSC1,C1C(CSS1)(C(=O)[O-])[NH3+]
O=C1/C(=C(/CC)\C)/CCC1C[N+H](C)C,CCC(=C1CCC(C1=O)C[NH+](C)C)C
O=C(NCC[N+H](C)C)c1cc2OC=3N(C(=O)c4c(cccc4)C=3)c2cc1,C[NH+](C)CCNC(=O)c1ccc2c(c1)oc3n2c(=O)c4ccccc4c3
C(CCCCCCCC)CCCCCCC[N+H]1CC2C(C1)CCCC2,CCCCCCCCCCCCCCCC[NH+]1CC2CCCCC2C1
FC(F)(F)c1cc2nc(Cc3ccccc3)n(CCC[N+H](C)C)c2cc1,C[NH+](C)CCCn1c2ccc(cc2nc1Cc3ccccc3)C(F)(F)F
Brc1[nH]c2c3c(ccc2)C=2[C@H]([N+H](C)CC(C(=O)N[C@@]4(C(C)C)C(=O)N5C(O)(O4)[C@H]4N(C(=O)C5CC(C)C)CCC4)C=2)Cc13,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4C[NH+](C5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O
O=C(O[C@H]1[C@@H]([N+H]2CCN(C)CC2)C[C@@H]2[C@]1(C)CC[C@@H]1[C@]3(C)C(=CC[C@@H]21)C[C@@H](OC(=O)C)CC3)C,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC(C4OC(=O)C)[NH+]5CCN(CC5)C)C)C
O=C(NC1C(O)C(OC2/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C(C)C(C(CCC(O)CC(=O)c3ccc(NC)cc3)C)OC(=O)CC(O)CC(=O)CC(O)CC(O)CC(O)CC(O)CC3(O)OC(C(C(=O)NCC[N+H](C)C)C(O)C3)C2)OC(C)C1O)CN1CC[N+H](C)CC1,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(CC(CC(CC(=O)CC(CC(=O)OC1C(C)CCC(CC(=O)c3ccc(cc3)NC)O)O)O)O)O)O)O)O)C(=O)NCC[NH+](C)C)OC4C(C(C(C(O4)C)O)NC(=O)CN5CC[NH+](CC5)C)O
Clc1cc(N2CC[N+H](CC(=O)N3C(c4cnccc4)c4[nH]c5c(c4CC3)cccc5)CC2)ccc1,c1ccc2c(c1)c3c([nH]2)C(N(CC3)C(=O)C[NH+]4CCN(CC4)c5cccc(c5)Cl)c6cccnc6
Clc1c(Cl)ccc(CC(=O)N(CCN(CCN(CC[N+H]2CCCC2)C)C)C)c1,CN(CC[NH+]1CCCC1)CCN(C)CCN(C)C(=O)Cc2ccc(c(c2)Cl)Cl
O=C(Nc1cn(C)c(C(=O)Nc2cn(C)c(C(=O)NCCC(=[N+H2])N)c2)c1)CCCCCCC(=O)Nc1cn(C)c(C(=O)Nc2cn(C)c(C(=O)NCCC(=[N+H2])N)c2)c1,Cn1cc(cc1C(=O)Nc2cc(n(c2)C)C(=O)NCCC(=[NH2+])N)NC(=O)CCCCCCC(=O)Nc3cc(n(c3)C)C(=O)Nc4cc(n(c4)C)C(=O)NCCC(=[NH2+])N
S(CCC[N+H]1CCC2(N(c3ccccc3)CN(C(=O)N(CC)CC)C2=O)CC1)c1ccc(F)cc1,CCN(CC)C(=O)N1CN(C2(C1=O)CC[NH+](CC2)CCCSc3ccc(cc3)F)c4ccccc4
FC(F)(F)c1ccc(-c2c(NC3CCCCCC3)nc(C(=[N+H2])NO)nc2)cc1,c1cc(ccc1c2cnc(nc2NC3CCCCCC3)C(=[NH2+])NO)C(F)(F)F
Oc1c(C[N+H](CC)CC)cc(Nc2c3n(C)c4c(c3nc3c2cccc3)cccc4)cc1,CC[NH+](CC)Cc1cc(ccc1O)Nc2c3ccccc3nc4c2n(c5c4cccc5)C
S(C(=[N+H2])N)C1c2c(-c3c1cccc3)cc([N+](=O)[O-])cc2,c1ccc2c(c1)-c3cc(ccc3C2SC(=[NH2+])N)[N+](=O)[O-]
O(C)c1c(O)c2C3(C=CC(=O)C=C3)CC3[N+H](C)CCc(c23)c1,C[NH+]1CCc2cc(c(c3c2C1CC34C=CC(=O)C=C4)O)OC
N#CC1(C#N)C(C#N)(C#N)C2=NN(C)C[N+H2]C2=C1C,CC1=C2C(=NN(C[NH2+]2)C)C(C1(C#N)C#N)(C#N)C#N
O=C(OC)[C@@H]1C23C=4C(=N[C@@]52[N+H](C/C(=C\C)/C1CC5)CC3)C=C(c1c(OC)cc2N(C)C3=C(C(=O)OC)CC5(CC)C6[N+H](CCC36c2c1)CCC5)C(=O)C=4,CCC12CCC[NH+]3C1C4(CC3)c5cc(c(cc5N(C4=C(C2)C(=O)OC)C)OC)C6=CC7=NC89CCC1C(C8(C7=CC6=O)CC[NH+]9CC1=CC)C(=O)OC
O=C1/C(=C\c2c3c([nH]c2)cccc3)/N/C(=[N+H]/N=C\C(O)C(O)C(O)CO)/N1,c1ccc2c(c1)c(c[nH]2)C=C3C(=O)NC(=[NH+]N=CC(C(C(CO)O)O)O)N3
O=C(NC1C(C(=O)NCC2C(OCCCCCCCCCCCC)C3OC(C)(C)OC3O2)OC2OC(C)(C)OC12)C[N+H]1CCN(c2ccc(OC)cc2)CC1,CCCCCCCCCCCCOC1C(OC2C1OC(O2)(C)C)CNC(=O)C3C(C4C(O3)OC(O4)(C)C)NC(=O)C[NH+]5CCN(CC5)c6ccc(cc6)OC
C(N1CC[N+H]2CCN(Cc3ccccc3)CCN(CC1)CC2)c1ccccc1,c1ccc(cc1)CN2CC[NH+]3CCN(CC2)CCN(CC3)Cc4ccccc4
O=[N+]([O-])c1c(C(=O)C(C[N+H](C)C)=C)cccc1,C[NH+](C)CC(=C)C(=O)c1ccccc1[N+](=O)[O-]
[SH0](=O)(CCC([N+H3])C(=O)[O-])CCCC,CCCCS(=O)CCC(C(=O)[O-])[NH3+]
O=[N+]([O-])c1c(-c2c(/C=N\NC(=[N+H2])N)n3c(SC(CCC)=C3)n2)c(OC)ccc1OC,CCCc1cn2c(c(nc2s1)c3c(ccc(c3[N+](=O)[O-])OC)OC)C=NNC(=[NH2+])N
[N+H](\c1ccccc1)=C\1/N(c2ccccc2)/C(=C(/C#N)\C#N)/S/C/1=N/c1ccccc1,c1ccc(cc1)[NH+]=C2C(=Nc3ccccc3)SC(=C(C#N)C#N)N2c4ccccc4
O=C([O-])[C@@H]1[C@@H](O)C[C@]2(O)O[C@H]1C[C@@H](OC1C(O)C([N+H3])C(O)C(C)O1)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C2,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)[O-])OC3C(C(C(C(O3)C)O)[NH3+])O
Clc1cc2[n+H]cc(C)c(NCCCC[N+H](CCCC)CCCC)c2cc1,CCCC[NH+](CCCC)CCCCNc1c(c[nH+]c2c1ccc(c2)Cl)C
O=C(c1ccc(C)cc1)C1C(O)(c2ccc(C)cc2)CC[N+H](CC)C1,CC[NH+]1CCC(C(C1)C(=O)c2ccc(cc2)C)(c3ccc(cc3)C)O
O(C)c1cc2[N+H]=C(N)n3c4c(nc3Sc2cc1)cccc4,COc1ccc2c(c1)[NH+]=C(n3c4ccccc4nc3S2)N
O=C1C(C[N+H]2CCOCC2)CC(c2ccccc2)(c2ccccc2)O1,c1ccc(cc1)C2(CC(C(=O)O2)C[NH+]3CCOCC3)c4ccccc4
Cl/C(/Cl)=C(/Cl)\C([N+](=O)[O-])=C([N+H]1CCCCC1)N1CCCCC1,C1CC[NH+](CC1)C(=C(C(=C(Cl)Cl)Cl)[N+](=O)[O-])N2CCCCC2
O(C)c1c(OC)cc2c(C(=O)N(C)C=3c4c(/C(=C/CCCC[N+H3])/C2=3)cc2OCOc2c4)c1,Cn1c-2c(c3cc(c(cc3c1=O)OC)OC)C(=CCCCC[NH3+])c4c2cc5c(c4)OCO5
Clc1ccc(C2N3C(C)=C(C(=O)C)SC3=[N+H]C=3c4c(cccc4)CCC2=3)cc1,CC1=C(SC2=[NH+]C3=C(CCc4c3cccc4)C(N12)c5ccc(cc5)Cl)C(=O)C
FC(F)(F)c1cc2N(CCC[N+H2]CCN3CCOCC3)c3c(Sc2cc1)cccc3,c1ccc2c(c1)N(c3cc(ccc3S2)C(F)(F)F)CCC[NH2+]CCN4CCOCC4
[N+H](\N=C/c1cc2c(cc1)cccc2)=C/1\NCCCN\1,c1ccc2cc(ccc2c1)C=N[NH+]=C3NCCCN3
S(C)C1(SC)C(c2ccccc2)(c2ccccc2)C2=[N+H]c3c(cccc3)CN12,CSC1(C(C2=[NH+]c3ccccc3CN21)(c4ccccc4)c5ccccc5)SC
O(C)c1ccc(/[N+H]=C(/Nc2ccc(OC)cc2)\C(=[N+H]/c2ccc(OC)cc2)\Nc2ccc(OC)cc2)cc1,COc1ccc(cc1)NC(=[NH+]c2ccc(cc2)OC)C(=[NH+]c3ccc(cc3)OC)Nc4ccc(cc4)OC
OC(C[N+H2]CCC(C)C)Cn1c2c(c3c1cccc3)cccc2,CC(C)CC[NH2+]CC(Cn1c2ccccc2c3c1cccc3)O
N1(c2nc3c(c4c2CCCC4)cccc3)CC[N+H2]CC1,c1ccc2c(c1)c3c(c(n2)N4CC[NH2+]CC4)CCCC3
O=C(COC(=O)C1C[N+H](C)CCC1)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)C(O)C2)CC1,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)C5CCC[NH+](C5)C)O)C)O
Clc1ccc(/C(=N\NC(=O)c2ccncc2)/C[N+H]2CCN(c3c(F)cc4C(=O)C(C(=O)[O-])=CNc4c3)CC2)cc1,c1cc(ccc1C(=NNC(=O)c2ccncc2)C[NH+]3CCN(CC3)c4cc5c(cc4F)c(=O)c(c[nH]5)C(=O)[O-])Cl
[N+H](CCCn1c(-c2c(N)non2)nc2c1ccnc2)(C)C,C[NH+](C)CCCn1c2ccncc2nc1c3c(non3)N
O(C)c1c(OC)cccc1C1C(C)C([N+H2]CCO)Oc2c1cc1OCOc1c2,CC1C(c2cc3c(cc2OC1[NH2+]CCO)OCO3)c4cccc(c4OC)OC
O=C(OC(COC(=O)CCC[N+H3])COC(=O)CCCCCCCCCCCCCCCCC)CCC[N+H3],CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCC[NH3+])OC(=O)CCC[NH3+]
ClCCN1/C(=[N+H]/c2cc3c(cc2)CCCC3)/OCC1,c1cc2c(cc1[NH+]=C3N(CCO3)CCCl)CCCC2
O=C(c1ccc(OC)cc1)C1C(O)(c2ccc(OC)cc2)CC[N+H](CC)C1,CC[NH+]1CCC(C(C1)C(=O)c2ccc(cc2)OC)(c3ccc(cc3)OC)O
O=C(N[N+H]1C(O)(C)C2(C(C(=O)OCC)=C1C)C(=O)OCC2)N,CCOC(=O)C1=C([NH+](C(C12CCOC2=O)(C)O)NC(=O)N)C
O=C(/C=C/c1ccccc1)CC[N+H](CC)CC,CC[NH+](CC)CCC(=O)C=Cc1ccccc1
O=C(CN1C(C[N+H](CC)CC)CCCC1)N1c2ncccc2NC(=O)c2c1cccc2,CC[NH+](CC)CC1CCCCN1CC(=O)N2c3ccccc3C(=O)Nc4c2nccc4
Oc1c(O)cc(NC(CCC[N+H3])C)c2nccc(C)c12,Cc1ccnc2c1c(c(cc2NC(C)CCC[NH3+])O)O
O(C)c1c(O)c(OC)cc(C2C(C)C([N+H](CC)CC)Oc3c2cc2OCOc2c3)c1,CC[NH+](CC)C1C(C(c2cc3c(cc2O1)OCO3)c4cc(c(c(c4)OC)O)OC)C
O(C)c1c(C2C(C#N)=C([N+H3])Oc3c2ccc(O)c3)cccc1,COc1ccccc1C2c3ccc(cc3OC(=C2C#N)[NH3+])O
O=C(NCC(C)C)CCc1c2oc3c(CC[N+H3])cccc3c2ccc1,CC(C)CNC(=O)CCc1cccc2c1oc3c2cccc3CC[NH3+]
O=C1/C(=C\c2sccc2)/N/C(=[N+H]/N=C\c2ccccc2)/N1,c1ccc(cc1)C=N[NH+]=C2NC(=Cc3cccs3)C(=O)N2
Clc1c2c(c(CSC(=[N+H2])N)cc1)cccc2,c1ccc2c(c1)c(ccc2Cl)CSC(=[NH2+])N
Ic1ccc(C(=O)NC2CC[N+H](Cc3ccccc3)CC2)cc1,c1ccc(cc1)C[NH+]2CCC(CC2)NC(=O)c3ccc(cc3)I
[N+H2](Cc1c2c(c(C[N+H2]C3CN(CC)CCC3)c3c1cccc3)cccc2)C1CN(CC)CCC1,CCN1CCCC(C1)[NH2+]Cc2c3ccccc3c(c4c2cccc4)C[NH2+]C5CCCN(C5)CC
[N+H3]C1(c2sc3c(c2)cccc3)CCCCCC1,c1ccc2c(c1)cc(s2)C3(CCCCCC3)[NH3+]
O=C1N(C2C(O)C(O)C([N+H3])C(C(OC3C(O)C([N+H3])C(O)C(CO)O3)C(O)C(O)C(O)C(O)CO)O2)C=CC(N)=N1,c1cn(c(=O)nc1N)C2C(C(C(C(O2)C(C(C(C(C(CO)O)O)O)O)OC3C(C(C(C(O3)CO)O)[NH3+])O)[NH3+])O)O
Clc1c(NCc2ccccc2)nc2nc(N3CC[N+H](CCOCCO)CC3)nc(N3CCCC3)c2n1,c1ccc(cc1)CNc2c(nc3c(n2)nc(nc3N4CCCC4)N5CC[NH+](CC5)CCOCCO)Cl
O=C(Nc1cc2C(=O)c3c(C(=O)c2cc1)cc(NC(=O)CC[N+H]1C(CO)CCCC1)cc3)CC[N+H]1C(CO)CCCC1,c1cc2c(cc1NC(=O)CC[NH+]3CCCCC3CO)C(=O)c4ccc(cc4C2=O)NC(=O)CC[NH+]5CCCCC5CO
SC1=NC(=O)C2([N+H2]N1)c1c(-c3c2cccc3)cccc1,c1ccc2c(c1)-c3ccccc3C24C(=O)N=C(N[NH2+]4)S
Clc1ccc(C2(O)N3C(=[N+H]CC3)c3c4c(c5c(c23)cccc5)cccc4)cc1,c1ccc2c(c1)c3ccccc3c4c2C5=[NH+]CCN5C4(c6ccc(cc6)Cl)O
BrCC([N+]#[N+][N-H])C=1C([O-])=NC(=O)N(C2OC(CO)C(O)C2)C=1,c1c(c(nc(=O)n1C2CC(C(O2)CO)O)[O-])C(CBr)[N+]#[N+][NH-]
O=C(C)c1cc2N(CCC[N+H](C)C)c3c(Sc2cc1)cccc3,CC(=O)c1ccc2c(c1)N(c3ccccc3S2)CCC[NH+](C)C
S=C1N(CCC[N+](C)(C)C)/C(=[N+H]/c2ccc(C)cc2)/C(=N\c2ccc(C)cc2)/S1,Cc1ccc(cc1)[NH+]=C2C(=Nc3ccc(cc3)C)SC(=S)N2CCC[N+](C)(C)C
O(CC)C1CC2C([N+H](C)C(/C=C/c3c4c(c(O)cc3)nccc4)CC2)CC1,CCOC1CCC2C(C1)CCC([NH+]2C)C=Cc3ccc(c4c3cccn4)O
O=C(Oc1c(OC)cc(C2C(C)C([N+H]3CCOCC3)Oc3c2cc2OCOc2c3)cc1OC)C,CC1C(c2cc3c(cc2OC1[NH+]4CCOCC4)OCO3)c5cc(c(c(c5)OC)OC(=O)C)OC
Clc1c(Cl)ccc(CC(=O)N(CCC[N+H](CCC[N+H]2CCCC2)C)C)c1,C[NH+](CCC[NH+]1CCCC1)CCCN(C)C(=O)Cc2ccc(c(c2)Cl)Cl
Clc1cc(N=Nc2cc(C[N+H](C)C)c(O)cc2)ccc1,C[NH+](C)Cc1cc(ccc1O)N=Nc2cccc(c2)Cl
O=[N+]([O-])c1ccc(/C=C/C(=O)c2cc(C[N+H](C)C)c(O)c(C[N+H](C)C)c2)cc1,C[NH+](C)Cc1cc(cc(c1O)C[NH+](C)C)C(=O)C=Cc2ccc(cc2)[N+](=O)[O-]
[N+H2]1CCN2CCN(CC[N+H2]CCC2)CCC1,C1C[NH2+]CCN2CCC[NH2+]CCN(C1)CC2
O(C)[C@H]1[C@@]2([N+H2]CCc3c4c([nH]c23)cc(OC)c(OC)c4)CC[C@@]2(c3c(O)c(OC)cc4c3[C@H]([N+H](C)CC4)C2)C1,C[NH+]1CCc2cc(c(c3c2C1CC34CCC5(c6c(c7cc(c(cc7[nH]6)OC)OC)CC[NH2+]5)C(C4)OC)O)OC
Clc1c(-c2oc(C(=O)Nc3ccc(C[N+H]4CCOCC4)cc3)cc2)cc(Cl)cc1,c1cc(ccc1C[NH+]2CCOCC2)NC(=O)c3ccc(o3)c4cc(ccc4Cl)Cl
