invalid_smiles,Canonicalized
O=[N+]([O-])c1c2c(NCCCO)c3c([n+H]c2ccc1)ccc(OC)c3,COc1ccc2c(c1)c(c3c([nH+]2)cccc3[N+](=O)[O-])NCCCO
O=[N+]([O-])c1cc2c3c(C(=O)N(CCC[N+H](CCCNc4c5C(=O)c6c(-n7c5c(nc7)cc4)cccc6)C)C(=O)c3ccc2)c1,C[NH+](CCCNc1ccc2c3c1c(=O)c4ccccc4n3cn2)CCCN5C(=O)c6cccc7c6c(cc(c7)[N+](=O)[O-])C5=O
O=C(CO)[C@@]1(O)C[C@@H](OC2OC(C)C(OC3OCCCC3)C([N+H3])C2)c2c([O-])c3C(=O)c4c(OC)cccc4C(=O)c3c([O-])c2C1,CC1C(C(CC(O1)OC2CC(Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(=O)CO)O)[NH3+])OC6CCCCO6
ClCOC(NC([N+H2]CS)C(=O)NCCNc1c2C(=O)c3c([O-])ccc([O-])c3C(=O)c2c(NCCNC(=O)C([N+H2]CS)NC(OCCl)CN(C)C)cc1)CN(C)C,CN(C)CC(NC(C(=O)NCCNc1ccc(c2c1C(=O)c3c(ccc(c3C2=O)[O-])[O-])NCCNC(=O)C([NH2+]CS)NC(CN(C)C)OCCl)[NH2+]CS)OCCl
O=C(N)C=1[N+H2]C(C)(C)N=C2N(/N=C(\C)/C)C=NC=12,CC(=Nn1cnc2=C([NH2+]C(N=c21)(C)C)C(=O)N)C
FC(F)(F)c1cc2ncc(/C=N\NC(=[N+H2])NO)c(O)c2cc1,c1cc2c(cc1C(F)(F)F)ncc(c2O)C=NNC(=[NH2+])NO
ClC1=C(N2CC[N+H](CCOCCO)CC2)C(=O)c2ncccc2C1=O,c1cc2c(nc1)C(=O)C(=C(C2=O)Cl)N3CC[NH+](CC3)CCOCCO
O(C)c1c2C(=O)c3c([O-])c4[C@H](OC5OC(C)C(O)C([N+H]6CCOCC6)C5)C[C@@](O)(C(O)CO)Cc4c([O-])c3C(=O)c2ccc1,CC1C(C(CC(O1)OC2CC(Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(CO)O)O)[NH+]6CCOCC6)O
Clc1c(C(=O)OC)cc2S(=O)(=O)N=C(N[N+H2]C)Sc2c1,C[NH2+]NC1=NS(=O)(=O)c2cc(c(cc2S1)Cl)C(=O)OC
O=[N+]([O-])c1c2c(NCCO)c3c([n+H]c2ccc1)ccc(OC)c3,COc1ccc2c(c1)c(c3c([nH+]2)cccc3[N+](=O)[O-])NCCO
SCC([N+H3])C(=O)NCCNc1c2C(=O)c3c([O-])ccc([O-])c3C(=O)c2c(NCCNC(=O)C([N+H3])CS)cc1,c1cc(c2c(c1NCCNC(=O)C(CS)[NH3+])C(=O)c3c(ccc(c3C2=O)[O-])[O-])NCCNC(=O)C(CS)[NH3+]
O=C(N[C@H]1[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H]2N(C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H](O)[C@@H]([C@@H](CC)C)NC1=O)CCC2)[C@@H](N(C(=O)[C@H]1[N+H2]CCC1)C)CC(C)C,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCC[NH2+]3)C)Cc4ccc(cc4)OC)C)CC(C)C)C)C(C)C)O
O(C)c1cc2c3c(C)c4c(NCCC[N+H](CCCNc5c6C(=O)c7c(-n8nnc(c68)cc5)cccc7)C)nccc4c(C)c3[nH]c2cc1,Cc1c2ccnc(c2c(c3c1[nH]c4c3cc(cc4)OC)C)NCCC[NH+](C)CCCNc5ccc6c7c5c(=O)c8ccccc8n7nn6
O=C(OC)C1[C@](O)(CC)C[C@@H](OC2OC(C)C(OC3OC(C)C(OC4C([N+H3])=CC(=O)C(C)O4)C(O)C3)C([N+H](C)C)C2)c2c([O-])c3C(=O)c4c([O-])cccc4C(=O)c3c([O-])c12,CCC1(CC(c2c(c(c3c(c2[O-])C(=O)c4c(cccc4[O-])C3=O)[O-])C1C(=O)OC)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7C(=CC(=O)C(O7)C)[NH3+])O)[NH+](C)C)O
O=[N+]([O-])c1c2c(NCC[N+H](CCO)CCO)c3c([n+H]c2ccc1)cccc3,c1ccc2c(c1)c(c3c([nH+]2)cccc3[N+](=O)[O-])NCC[NH+](CCO)CCO
O=C(C)[C@@]1(O)C[C@H](OC2OC(C)C(O)C([N+H3])C2)c2c(O)c3C(=N)c4c(OC)cccc4C(=O)c3c([O-])c2C1,CC1C(C(CC(O1)OC2CC(Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=N)OC)O)(C(=O)C)O)[NH3+])O
O=[N+]([O-])c1c2c(NCCC[N+H3])c3c([n+H]c2ccc1)cccc3,c1ccc2c(c1)c(c3c([nH+]2)cccc3[N+](=O)[O-])NCCC[NH3+]
O=[N+]([O-])c1c2c(NCCCCCNC(=O)CCC(NC(=O)C3N(C(=O)COC4C(O)C(CO)OC(OCc5ccccc5)C4NC(=O)C)CCC3)C(=O)N)c3c([n+H]c2ccc1)cccc3,CC(=O)NC1C(C(C(OC1OCc2ccccc2)CO)O)OCC(=O)N3CCCC3C(=O)NC(CCC(=O)NCCCCCNc4c5ccccc5[nH+]c6c4c(ccc6)[N+](=O)[O-])C(=O)N
O=[N+]([O-])c1c2c(NCC[N+H](CC)CC)c3c([n+H]c2ccc1)cccc3,CC[NH+](CC)CCNc1c2ccccc2[nH+]c3c1c(ccc3)[N+](=O)[O-]
O=C(O[C@H]1[C@](O)(C(=O)OC)[C@@H]2N(C=O)c3c(cc(c(OC)c3)[C@]3(C(=O)OC)c4[nH]c5c(c4CC[N+H]4C[C@](O)(CC)C[C@H](C3)C4)cccc5)[C@@]32[C@@H]2[C@@]1(CC)C=CC[N+H]2CC3)C,CCC1(CC2CC(c3c(c4ccccc4[nH]3)CC[NH+](C2)C1)(c5cc6c(cc5OC)N(C7C68CC[NH+]9C8C(C=CC9)(C(C7(C(=O)OC)O)OC(=O)C)CC)C=O)C(=O)OC)O
O=C(O[C@H]1[C@](O)(C(=O)OC)[C@@H]2N(C)c3c(cc(c(OC)c3)[C@]3(C(=O)OC)c4[nH]c5c(c4CC[N+@@H]4C[C@](O)(CC)C[C@H](C3)C4)cccc5)[C@@]32[C@@H]2[C@@]1(CC)[C@H]1[C@@H](C[N+H]2CC3)C1)C,CCC1(CC2CC(c3c(c4ccccc4[nH]3)CC[NH+](C2)C1)(c5cc6c(cc5OC)N(C7C68CC[NH+]9C8C(C1CC1C9)(C(C7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC)O
O(C)c1c(OC)cc2-c3c(O)c(OC)ccc3C=3[C@@H](c2c1)C[N+H]1[C@H](C=3)CCC1,COc1ccc2c(c1O)-c3cc(c(cc3C4C2=CC5CCC[NH+]5C4)OC)OC
